colour	x	y	clickSelects	showSelected1	showSelected2	fill
#39B600	2.39967276681065	0.192771262110391	4	6	4	#39B600
#00BF7D	-0.990440214648324	-1.19222326051784	5	6	5	#00BF7D
#00BFC4	1.81076390827556	-1.08430362290797	6	6	6	#00BFC4
#00B0F6	0.561567712488891	-0.752983056759477	7	6	7	#00B0F6
#9590FF	0.442028530479074	-4.41297653946444	8	6	8	#9590FF
#E76BF3	3.90114976295677	-8.6535584058436	9	6	9	#E76BF3
#FF62BC	1.49559018176478	1.19454234715444	10	6	10	#FF62BC
#F8766D	3.61675619593089	2.40614992916766	1	7	1	#F8766D
#D89000	-1.21916081435939	1.7493562073262	2	7	2	#D89000
#A3A500	0.61642960096248	2.01040182752874	3	7	3	#A3A500
#39B600	4.2481546684834	-0.311445868577513	4	7	4	#39B600
#00BF7D	-1.65721362340614	-2.85332234043265	5	7	5	#00BF7D
#00BFC4	1.91627772073163	-1.46663734978178	6	7	6	#00BFC4
#00B0F6	0.139311830620035	-1.26563331463728	7	7	7	#00B0F6
#9590FF	0.319678358524103	-1.71108553911964	8	7	8	#9590FF
#E76BF3	4.08934279745827	-10.0156746370333	9	7	9	#E76BF3
#FF62BC	1.61475113976178	1.33179856571305	10	7	10	#FF62BC
#F8766D	2.1231311286146	2.9737705235912	1	8	1	#F8766D
#D89000	-2.68959655579619	1.25647885377273	2	8	2	#D89000
#A3A500	0.741131987159486	2.01046471159409	3	8	3	#A3A500
#39B600	3.25151553359936	0.811443774802453	4	8	4	#39B600
#00BF7D	-1.65903623771085	-1.41346659745646	5	8	5	#00BF7D
#00BFC4	1.48801883930582	-2.5637511181876	6	8	6	#00BFC4
#00B0F6	-0.47435977582946	-1.38295287488745	7	8	7	#00B0F6
#9590FF	-1.704999486895	-0.509587138199942	8	8	8	#9590FF
#E76BF3	2.86459484709829	-10.4854042175996	9	8	9	#E76BF3
#FF62BC	1.79426758087972	1.27932908077405	10	8	10	#FF62BC
#F8766D	2.03702383037751	2.93307204843999	1	9	1	#F8766D
#D89000	-3.57727557370262	-0.295065968574862	2	9	2	#D89000
#A3A500	0.296447982274748	3.17763426082977	3	9	3	#A3A500
#39B600	3.22207065451112	0.537798073428372	4	9	4	#39B600
#00BF7D	-2.07290508676877	-1.88131192212871	5	9	5	#00BF7D
#00BFC4	2.60140486267402	-3.80200344617382	6	9	6	#00BFC4
#00B0F6	-0.955352617483442	-1.39071490866478	7	9	7	#00B0F6
#9590FF	-2.13816851949573	-1.3098693161516	8	9	8	#9590FF
#E76BF3	3.56145742365039	-11.0188965475501	9	9	9	#E76BF3
#FF62BC	0.737899167708815	2.56700432635864	10	9	10	#FF62BC
#F8766D	1.86149796013539	2.70329390949372	1	10	1	#F8766D
#D89000	-4.64905795785329	0.541553099885751	2	10	2	#D89000
#A3A500	0.459654864742131	1.43257839949308	3	10	3	#A3A500
#39B600	2.85933223888317	2.22725699474175	4	10	4	#39B600
#00BF7D	-1.48289153878143	-1.01653394361014	5	10	5	#00BF7D
#00BFC4	4.03382679040501	-3.95277943505957	6	10	6	#00BFC4
#00B0F6	-1.94804512859293	-2.83972203880395	7	10	7	#00B0F6
#9590FF	-1.68351822191545	-0.66686061610962	8	10	8	#9590FF
#E76BF3	3.64635548232888	-10.5357026837353	9	10	9	#E76BF3
#FF62BC	1.63346474997336	2.56064869993725	10	10	10	#FF62BC
#F8766D	2.01295385299781	2.90825249008135	1	11	1	#F8766D
#D89000	-5.2331669282031	0.196465121912861	2	11	2	#D89000
#A3A500	0.828461597372373	1.68519010285754	3	11	3	#A3A500
#39B600	3.15398657860269	0.933254529257193	4	11	4	#39B600
#00BF7D	-1.76215091212401	-1.9757043879905	5	11	5	#00BF7D
#00BFC4	2.69759013551186	-2.86700458137967	6	11	6	#00BFC4
#00B0F6	-1.2472963101529	-2.43594713408823	7	11	7	#00B0F6
#9590FF	-1.12932159964142	-0.0803730793903222	8	11	8	#9590FF
#E76BF3	2.81004888952746	-8.72047423758134	9	11	9	#E76BF3
#FF62BC	0.0388765879671162	2.68947012853964	10	11	10	#FF62BC
#F8766D	0.0120246152663008	1.70703043934137	1	12	1	#F8766D
#D89000	-4.89938973076953	2.23343728889601	2	12	2	#D89000
#A3A500	1.99978672473117	1.79296484774308	3	12	3	#A3A500
#39B600	5.21352582090199	0.849146428751612	4	12	4	#39B600
#00BF7D	-3.13901251036453	-1.4800847463859	5	12	5	#00BF7D
#00BFC4	1.54673456988475	-2.8295893952617	6	12	6	#00BFC4
#00B0F6	-1.95311770491302	-2.56803517104414	7	12	7	#00B0F6
#9590FF	-2.18337738171861	1.39641434416177	8	12	8	#9590FF
#E76BF3	2.16430516638497	-8.93750444767344	9	12	9	#E76BF3
#FF62BC	-0.146501379709387	1.40586792444741	10	12	10	#FF62BC
#F8766D	0.397692505709703	1.43526672422997	1	13	1	#F8766D
#D89000	-5.25090260429862	3.18138928477121	2	13	2	#D89000
#A3A500	1.4779906313749	0.591382417634144	3	13	3	#A3A500
#39B600	4.14539462021482	0.38303033237611	4	13	4	#39B600
#00BF7D	-2.71064660709784	-1.74943614153908	5	13	5	#00BF7D
#00BFC4	1.37271633545776	-3.22055480339256	6	13	6	#00BFC4
#00B0F6	-1.43744997626499	-1.21932815905243	7	13	7	#00B0F6
#9590FF	-2.41774265902453	1.37364964286336	8	13	8	#9590FF
#E76BF3	1.5058017405632	-8.69327859656999	9	13	9	#E76BF3
#FF62BC	1.10373522436933	0.463496216583487	10	13	10	#FF62BC
#F8766D	-0.331524770799871	0.339110482671113	1	14	1	#F8766D
#D89000	-4.25283369574377	3.2304397357088	2	14	2	#D89000
#A3A500	2.73647229597046	-0.607113438923636	3	14	3	#A3A500
#39B600	5.39425830902492	0.573049330935858	4	14	4	#39B600
#00BF7D	-4.09128365662317	-0.451730241934418	5	14	5	#00BF7D
#00BFC4	3.42267702909415	-4.25442852635731	6	14	6	#00BFC4
#00B0F6	-0.42057714646545	-1.95776891326549	7	14	7	#00B0F6
#9590FF	-2.44446012316279	1.42021358231423	8	14	8	#9590FF
#E76BF3	2.20940951936146	-9.7108747163961	9	14	9	#E76BF3
#FF62BC	0.132349995217466	0.080212256697209	10	14	10	#FF62BC
#F8766D	0.541230640871527	0.912862180154691	1	15	1	#F8766D
#D89000	-3.28328868177366	3.2762433154339	2	15	2	#D89000
#A3A500	3.12031896099755	-0.449700898747761	3	15	3	#A3A500
#39B600	3.54270264595746	1.00461470380463	4	15	4	#39B600
#00BF7D	-4.14528039344933	-0.84827997798463	5	15	5	#00BF7D
#00BFC4	4.48745024343244	-2.94445030060576	6	15	6	#00BFC4
#00B0F6	0.392617890946155	-1.48737551339155	7	15	7	#00B0F6
#9590FF	-2.63527659726707	0.177543311739624	8	15	8	#9590FF
#E76BF3	-0.490520289202244	-8.32929926001057	9	15	9	#E76BF3
#FF62BC	0.193316634018582	1.28467119370703	10	15	10	#FF62BC
#F8766D	1.36530460455341	0.225265338911279	1	16	1	#F8766D
#D89000	-4.94591808395925	3.72228436839577	2	16	2	#D89000
#A3A500	2.55101261739207	-1.26208562253836	3	16	3	#A3A500
#39B600	4.17821646324698	3.21667018413976	4	16	4	#39B600
#00BF7D	-4.10155838587148	-0.97198594956206	5	16	5	#00BF7D
#00BFC4	4.83546254709374	-3.42178580663582	6	16	6	#00BFC4
#00B0F6	2.85221143981657	-1.65363700487816	7	16	7	#00B0F6
#9590FF	-3.45365692166674	1.04010669536605	8	16	8	#9590FF
#E76BF3	-2.60372040413138	-8.23195877480775	9	16	9	#E76BF3
#FF62BC	0.467011906448997	-0.340945545504255	10	16	10	#FF62BC
#F8766D	1.36068383672695	0.154303157661283	1	17	1	#F8766D
#D89000	-4.1856759162972	2.96336371466482	2	17	2	#D89000
#A3A500	2.59000353026463	-2.29644498347751	3	17	3	#A3A500
#39B600	4.91328860486142	2.58593823016895	4	17	4	#39B600
#00BF7D	-4.24803101287035	-0.385178229549065	5	17	5	#00BF7D
#00BFC4	4.77757521171246	-3.83810846281947	6	17	6	#00BFC4
#00B0F6	3.3345809059211	-2.43852481438348	7	17	7	#00B0F6
#9590FF	-2.46071328489101	1.20352301485215	8	17	8	#9590FF
#E76BF3	-3.85011590216342	-9.4686730099171	9	17	9	#E76BF3
#FF62BC	0.433524381603387	0.704928230732417	10	17	10	#FF62BC
#F8766D	0.876088420508241	0.90107484467375	1	18	1	#F8766D
#D89000	-3.99654710461653	2.53784498027021	2	18	2	#D89000
#A3A500	2.64100986183961	-3.06852721867097	3	18	3	#A3A500
#39B600	4.91304793597498	2.73870233691684	4	18	4	#39B600
#00BF7D	-2.43864897042748	0.603418615629734	5	18	5	#00BF7D
#00BFC4	3.95224725460252	-3.91156679749164	6	18	6	#00BFC4
#00B0F6	4.48005135814909	-3.82555136794322	7	18	7	#00B0F6
#9590FF	-2.42914009733776	-0.103152889523211	8	18	8	#9590FF
#E76BF3	-4.68532170747014	-10.237068334995	9	18	9	#E76BF3
#FF62BC	0.364760732586875	0.177820105357959	10	18	10	#FF62BC
#F8766D	0.854661355466617	1.62524864535712	1	19	1	#F8766D
#D89000	-3.32604903362025	1.705292154506	2	19	2	#D89000
#A3A500	2.2063928232672	-2.33599873190255	3	19	3	#A3A500
#39B600	3.79916815266213	1.86677546691963	4	19	4	#39B600
#00BF7D	-1.83154297554898	0.150021104399941	5	19	5	#00BF7D
#00BFC4	4.22770422334211	-2.72403251886256	6	19	6	#00BFC4
#00B0F6	5.63739842756382	-4.1156966797333	7	19	7	#00B0F6
#9590FF	-4.11162095681602	0.725393255442225	8	19	8	#9590FF
#E76BF3	-4.59800261857527	-10.5282960437742	9	19	9	#E76BF3
#FF62BC	1.71812262652954	-1.39854229938995	10	19	10	#FF62BC
#F8766D	0.00584565851769492	3.25369091117253	1	20	1	#F8766D
#D89000	-4.41456889557744	1.79381405021962	2	20	2	#D89000
#A3A500	1.72210225215003	-1.09684802350199	3	20	3	#A3A500
#39B600	3.46285694365256	0.22221993116592	4	20	4	#39B600
#00BF7D	-1.98490086621062	1.59637762977842	5	20	5	#00BF7D
#00BFC4	3.98445699476726	-3.41459269052775	6	20	6	#00BFC4
#00B0F6	7.52960046916394	-4.39212776518715	7	20	7	#00B0F6
#9590FF	-5.49761929410144	-0.384025504457212	8	20	8	#9590FF
#E76BF3	-5.01282691928305	-10.3944267273448	9	20	9	#E76BF3
#FF62BC	2.06720415463637	0.386796752341605	10	20	10	#FF62BC
#F8766D	2.42800901376929	3.57387892546949	1	21	1	#F8766D
#D89000	-5.49139779769586	1.49194412444236	2	21	2	#D89000
#A3A500	2.20804336255313	-0.598499337944041	3	21	3	#A3A500
#39B600	4.85137868239685	-0.327316986750836	4	21	4	#39B600
#00BF7D	-2.18055768349517	1.31712112614118	5	21	5	#00BF7D
#00BFC4	3.76628219706105	-2.31807924741601	6	21	6	#00BFC4
#00B0F6	7.22482251461749	-3.95011467700834	7	21	7	#00B0F6
#9590FF	-4.89978656999	-0.143009210431099	8	21	8	#9590FF
#E76BF3	-3.61539750846729	-10.6500343827003	9	21	9	#E76BF3
#FF62BC	2.75482391587634	1.31782965382649	10	21	10	#FF62BC
#F8766D	3.76292159914476	2.87143945215708	1	22	1	#F8766D
#D89000	-6.3606695615713	1.18051390643044	2	22	2	#D89000
#A3A500	2.26353031721823	-2.26165636861142	3	22	3	#A3A500
#39B600	4.90044559558877	-1.07785042854313	4	22	4	#39B600
#00BF7D	-2.75891341185606	0.53976936695967	5	22	5	#00BF7D
#00BFC4	2.76754354106505	-3.04064894727562	6	22	6	#00BFC4
#00B0F6	7.22238973461089	-6.13894927615541	7	22	7	#00B0F6
#9590FF	-4.24427468717703	0.0704093398554548	8	22	8	#9590FF
#E76BF3	-2.13855522949074	-11.2819573189551	9	22	9	#E76BF3
#FF62BC	0.845671127597124	2.83832084765865	10	22	10	#FF62BC
#F8766D	4.55887754855984	4.89133007363306	1	23	1	#F8766D
#D89000	-7.8141991267041	0.651128020113179	2	23	2	#D89000
#A3A500	2.36192573822407	-2.73244334159546	3	23	3	#A3A500
#39B600	4.30667461135562	-2.62378735256065	4	23	4	#39B600
#00BF7D	-1.87063224322155	0.499242643664493	5	23	5	#00BF7D
#00BFC4	2.82061395656371	-2.15029264180494	6	23	6	#00BFC4
#00B0F6	6.66536610876623	-8.21033712708462	7	23	7	#00B0F6
#9590FF	-3.80587765100431	-0.179655780217564	8	23	8	#9590FF
#E76BF3	-1.98594707084832	-12.4636077456084	9	23	9	#E76BF3
#FF62BC	0.681053545847559	4.28025811267556	10	23	10	#FF62BC
#F8766D	5.9167730874387	3.58750891998819	1	24	1	#F8766D
#D89000	-7.47969627936345	0.400213555070719	2	24	2	#D89000
#A3A500	3.7912638186243	-2.56143596787755	3	24	3	#A3A500
#39B600	3.43935676047693	-3.02725483130816	4	24	4	#39B600
#00BF7D	-0.919980518249663	0.60390208450022	5	24	5	#00BF7D
#00BFC4	2.23560244793048	-2.46917342853895	6	24	6	#00BFC4
#00B0F6	6.98632363129186	-6.59199319120119	7	24	7	#00B0F6
#9590FF	-4.10527366766922	0.534532821271053	8	24	8	#9590FF
#E76BF3	-2.26449015414139	-9.49774237577518	9	24	9	#E76BF3
#FF62BC	1.22716870417709	3.48518050811635	10	24	10	#FF62BC
#F8766D	6.73113900211861	3.5784524446952	1	25	1	#F8766D
#D89000	-5.38166546923307	-1.05791993217405	2	25	2	#D89000
#A3A500	4.09224387377687	-1.86690632138268	3	25	3	#A3A500
#39B600	2.3562816186377	-5.48859030649465	4	25	4	#39B600
#00BF7D	-1.92630302005295	0.747191848540675	5	25	5	#00BF7D
#00BFC4	2.20018788301286	-2.86039554766601	6	25	6	#00BFC4
#00B0F6	8.29544799214528	-7.08315727681527	7	25	7	#00B0F6
#9590FF	-3.3548731810225	0.250885368819002	8	25	8	#9590FF
#E76BF3	-4.40285848175381	-9.18294757106733	9	25	9	#E76BF3
#FF62BC	0.526814595310457	3.88150708605534	10	25	10	#FF62BC
#F8766D	6.50553529108265	3.40012632127528	1	26	1	#F8766D
#D89000	-7.30661589957363	-1.1730559183767	2	26	2	#D89000
#A3A500	2.65301457545489	-1.93896779348905	3	26	3	#A3A500
#39B600	0.886623844665302	-4.27768049956834	4	26	4	#39B600
#00BF7D	-1.16443957316102	0.132294947740972	5	26	5	#00BF7D
#00BFC4	1.95657290114158	-2.1842690893513	6	26	6	#00BFC4
#00B0F6	8.56512459956329	-6.18455767127772	7	26	7	#00B0F6
#9590FF	-4.91380070197831	-0.938432534702018	8	26	8	#9590FF
#E76BF3	-4.93844648845012	-9.06168872124832	9	26	9	#E76BF3
#FF62BC	1.08926656848395	3.87028539992492	10	26	10	#FF62BC
#F8766D	7.53467601039641	4.51509811977069	1	27	1	#F8766D
#D89000	-6.39184103185402	-1.58600077130379	2	27	2	#D89000
#A3A500	2.65055830877532	-3.06794519149588	3	27	3	#A3A500
#39B600	1.02263339707903	-4.36561183134539	4	27	4	#39B600
#00BF7D	-1.88459311810414	2.3741986410536	5	27	5	#00BF7D
#00BFC4	1.75844857109037	-0.142955918600815	6	27	6	#00BFC4
#00B0F6	7.53591579351501	-7.90435800799917	7	27	7	#00B0F6
#9590FF	-5.88075659783093	-1.29533919082441	8	27	8	#9590FF
#E76BF3	-6.15925957736921	-7.52840822908603	9	27	9	#E76BF3
#FF62BC	1.92547427242879	3.83204130331469	10	27	10	#FF62BC
#F8766D	9.13208925272284	2.71068817480744	1	28	1	#F8766D
#D89000	-6.7254264251639	-2.70782337765901	2	28	2	#D89000
#A3A500	3.2555442326907	-3.41587479805502	3	28	3	#A3A500
#39B600	1.24687463632928	-3.12670968271341	4	28	4	#39B600
#00BF7D	1.34447637737592	2.10000107620132	5	28	5	#00BF7D
#00BFC4	2.67890113786289	0.0194247969573778	6	28	6	#00BFC4
#00B0F6	6.32937672429909	-7.96896491775223	7	28	7	#00B0F6
#9590FF	-6.4846377669942	-2.00057628784955	8	28	8	#9590FF
#E76BF3	-5.78902429274715	-6.16621096033504	9	28	9	#E76BF3
#FF62BC	0.0244736257491824	2.73552811523137	10	28	10	#FF62BC
#F8766D	8.90365573417595	1.1494223886504	1	29	1	#F8766D
#D89000	-7.07325450577417	-2.38305271706431	2	29	2	#D89000
#A3A500	3.78767285219743	-3.57266511500726	3	29	3	#A3A500
#39B600	2.85410919859047	-2.24892582197906	4	29	4	#39B600
#00BF7D	1.85829090349251	2.85016765138196	5	29	5	#00BF7D
#00BFC4	4.06127429843592	0.320478200800208	6	29	6	#00BFC4
#00B0F6	7.09247377284899	-6.47615380052292	7	29	7	#00B0F6
#9590FF	-7.10922231162831	-3.52607008801925	8	29	8	#9590FF
#E76BF3	-5.70748049231816	-5.25549340184902	9	29	9	#E76BF3
#FF62BC	1.40055273711395	1.15599608737383	10	29	10	#FF62BC
#F8766D	9.49137199129453	0.478007321549038	1	30	1	#F8766D
#D89000	-6.98361220977345	-2.54039316914529	2	30	2	#D89000
#A3A500	4.75493450914727	-4.50397018600712	3	30	3	#A3A500
#39B600	2.93292155150529	-4.23193530144919	4	30	4	#39B600
#00BF7D	0.28959106700642	2.63056784713258	5	30	5	#00BF7D
#00BFC4	2.05345111441983	1.3657540702626	6	30	6	#00BFC4
#00B0F6	7.63344729708776	-4.59882423422325	7	30	7	#00B0F6
#9590FF	-7.18259890973673	-3.52346389206208	8	30	8	#9590FF
#E76BF3	-6.27849888587625	-5.33616333655818	9	30	9	#E76BF3
#FF62BC	1.08948427726031	2.1189783686137	10	30	10	#FF62BC
#F8766D	9.54494300784105	0.46517758768185	1	31	1	#F8766D
#D89000	-7.41851061868348	-2.38844584716089	2	31	2	#D89000
#A3A500	3.01763725380496	-3.90545905460605	3	31	3	#A3A500
#39B600	1.66922595172286	-4.35814773874747	4	31	4	#39B600
#00BF7D	0.695899579075694	2.3820322812858	5	31	5	#00BF7D
#00BFC4	0.593797146640069	1.52608146516722	6	31	6	#00BFC4
#00B0F6	8.68190466724246	-5.03246617582052	7	31	7	#00B0F6
#9590FF	-8.52902944918694	-1.98605147296181	8	31	8	#9590FF
#E76BF3	-6.47206944398974	-7.50640991317426	9	31	9	#E76BF3
#FF62BC	1.08714832014663	3.14598298790513	10	31	10	#FF62BC
#F8766D	9.29646007465111	-1.4006362609381	1	32	1	#F8766D
#D89000	-6.99619023285109	-2.1432667837212	2	32	2	#D89000
#A3A500	4.00529054744464	-1.68192475269798	3	32	3	#A3A500
#39B600	2.50479412375788	-4.08477167460301	4	32	4	#39B600
#00BF7D	0.0353777200299882	3.51281707581409	5	32	5	#00BF7D
#00BFC4	2.1578666399319	2.36475083922732	6	32	6	#00BFC4
#00B0F6	7.05892873195091	-5.68708145369873	7	32	7	#00B0F6
#9590FF	-7.66513307570795	-1.03209049448242	8	32	8	#9590FF
#E76BF3	-6.98367221742594	-7.15345844768494	9	32	9	#E76BF3
#FF62BC	-0.830216705298767	3.35258228055475	10	32	10	#FF62BC
#F8766D	10.2975733089614	-0.935123643225119	1	33	1	#F8766D
#D89000	-6.24873824121081	-1.56891055809423	2	33	2	#D89000
#A3A500	3.3787157107215	-1.91262474285539	3	33	3	#A3A500
#39B600	2.90001780969459	-2.91252916630056	4	33	4	#39B600
#00BF7D	-0.856790234015589	4.90551978254721	5	33	5	#00BF7D
#00BFC4	2.78868505002368	1.70275958351774	6	33	6	#00BFC4
#00B0F6	6.62622354866634	-6.46445066042374	7	33	7	#00B0F6
#9590FF	-7.21299443148943	-0.518551915573636	8	33	8	#9590FF
#E76BF3	-6.61567317222959	-8.06677068572621	9	33	9	#E76BF3
#FF62BC	-1.10060419496068	2.90315847530445	10	33	10	#FF62BC
#F8766D	11.100506008065	-0.0903314200018829	1	34	1	#F8766D
#D89000	-6.82221509219192	-1.6108820824158	2	34	2	#D89000
#A3A500	1.45059054287317	-3.01820064855542	3	34	3	#A3A500
#39B600	3.56440864351674	-2.34875351396968	4	34	4	#39B600
#00BF7D	-2.45933045780984	6.20888453836688	5	34	5	#00BF7D
#00BFC4	1.43408479256983	0.202538645723082	6	34	6	#00BFC4
#00B0F6	3.60829086924845	-7.07143989554278	7	34	7	#00B0F6
#9590FF	-6.38175660925937	-0.810796981230214	8	34	8	#9590FF
#E76BF3	-6.36457608338225	-9.35645402904981	9	34	9	#E76BF3
#FF62BC	-0.638310729019347	3.59726432407914	10	34	10	#FF62BC
#F8766D	10.5013241051679	0.62780478604022	1	35	1	#F8766D
#D89000	-5.56530844822028	-1.12142506457353	2	35	2	#D89000
#A3A500	1.50409855650054	-3.19208899443369	3	35	3	#A3A500
#39B600	4.29250116118859	-3.56645300263808	4	35	4	#39B600
#00BF7D	-0.898232389599235	6.85528290707634	5	35	5	#00BF7D
#00BFC4	1.69970954616702	-0.713917382624808	6	35	6	#00BFC4
#00B0F6	4.68501712845571	-8.32326333796834	7	35	7	#00B0F6
#9590FF	-6.17105867758012	-0.215869262824713	8	35	8	#9590FF
#E76BF3	-7.87624960920462	-10.5892646942396	9	35	9	#E76BF3
#FF62BC	-0.615908469105722	3.84162873898528	10	35	10	#FF62BC
#F8766D	10.5040962905115	-0.249859597393506	1	36	1	#F8766D
#D89000	-6.89351813424585	-2.33432218975149	2	36	2	#D89000
#A3A500	2.68379496833331	-2.57880237574665	3	36	3	#A3A500
#39B600	3.69969616203966	-4.37265634410056	4	36	4	#39B600
#00BF7D	0.301745926737437	5.47882597716744	5	36	5	#00BF7D
#00BFC4	1.22467586655488	-1.22176528178835	6	36	6	#00BFC4
#00B0F6	4.1099600323049	-9.12419882470568	7	36	7	#00B0F6
#9590FF	-6.20228470218862	-2.40865494849478	8	36	8	#9590FF
#E76BF3	-8.23430660518307	-10.8802018435073	9	36	9	#E76BF3
#FF62BC	-0.972509546753453	4.0088028601458	10	36	10	#FF62BC
#F8766D	10.7987886469971	-0.508700765772177	1	37	1	#F8766D
#D89000	-6.50077686882512	-0.604764009859997	2	37	2	#D89000
#A3A500	1.6829512553325	-2.63719454115403	3	37	3	#A3A500
#39B600	3.37396904221623	-4.90972012870948	4	37	4	#39B600
#00BF7D	-0.706602878691405	6.22611267333318	5	37	5	#00BF7D
#00BFC4	0.589244384521117	-1.70902311717809	6	37	6	#00BFC4
#00B0F6	2.90011934431755	-7.75129104322618	7	37	7	#00B0F6
#9590FF	-7.31874850284131	-2.786327309141	8	37	8	#9590FF
#E76BF3	-7.60442544260714	-11.4963544576257	9	37	9	#E76BF3
#FF62BC	-1.24503111693208	2.84067780907111	10	37	10	#FF62BC
#F8766D	11.1274290055882	-0.367127893639957	1	38	1	#F8766D
#D89000	-5.03426624138495	-0.60871123059065	2	38	2	#D89000
#A3A500	1.32694171024358	-2.26925704006226	3	38	3	#A3A500
#39B600	3.63543668409366	-5.56706304340673	4	38	4	#39B600
#00BF7D	-0.373274023515674	5.84976600317213	5	38	5	#00BF7D
#00BFC4	2.01143762483066	-0.967663056753003	6	38	6	#00BFC4
#00B0F6	3.56399594498373	-7.85089779967465	7	38	7	#00B0F6
#9590FF	-8.39240365853662	-3.4406171877481	8	38	8	#9590FF
#E76BF3	-8.30132721727388	-10.5251900835644	9	38	9	#E76BF3
#FF62BC	-1.99116157386664	2.8541741206395	10	38	10	#FF62BC
#F8766D	10.2108943385667	-1.97518806858464	1	39	1	#F8766D
#D89000	-3.32457768012332	-2.55849502663264	2	39	2	#D89000
#A3A500	0.158840720296928	-2.60995695829324	3	39	3	#A3A500
#39B600	1.85440042394114	-5.39233751607541	4	39	4	#39B600
#00BF7D	-2.62640647208389	3.5719884423949	5	39	5	#00BF7D
#00BFC4	2.66256359437736	-0.677138575805919	6	39	6	#00BFC4
#00B0F6	3.03116331938096	-7.42859144220103	7	39	7	#00B0F6
#9590FF	-8.66796301550891	-2.14587982454138	8	39	8	#9590FF
#E76BF3	-8.01170024464483	-10.3604760649905	9	39	9	#E76BF3
#FF62BC	-2.4576456356574	3.05912796143974	10	39	10	#FF62BC
#F8766D	10.8154979652925	-0.42781584289947	1	40	1	#F8766D
#D89000	-3.34371844929225	-3.52735459549707	2	40	2	#D89000
#A3A500	0.0791263729181196	-2.7983973845527	3	40	3	#A3A500
#39B600	1.97038488834394	-6.42233867753132	4	40	4	#39B600
#00BF7D	-1.8822331080355	4.4800748842554	5	40	5	#00BF7D
